中文,ㄅㄆㄇㄈ,泰文,Add Reverse
介紹,ㄐㄧㄝˋㄕㄠˋ,แนะนำ,y
付,ㄈㄨˋ,จ่าย,y
以前,ㄧˇㄑㄧㄢˊ,ก่อน ก่อนหน้า,y
以後,ㄧˇㄏㄡˋ,หลังจากนี้ ในอนาคต,y
以為,ㄧˇㄨㄟˊ,คิดผิด,y
件,ㄐㄧㄢˋ,ตัว (ลักษณนามของเสื้อ),y
份,ㄈㄣˋ,งาน (ลักษณนาม),y
休息,ㄒㄧㄡㄒㄧˊ,พักผ่อน,y
伯母,ㄅㄛˊㄇㄨˇ,คุณแม่ (ของคนอื่น),y
但是,ㄉㄢˋㄕˋ,อย่างไรก็ตาม,y
位,ㄨㄟˋ,ท่าน (ลักษณนาม),y
低,ㄉㄧ,ต่ำ,y
住,ㄓㄨˋ,พัก อยู่อาศัย,y
作業,ㄗㄨㄛˋㄧㄝˋ,การบ้าน (!ㄍ),y
作法,ㄗㄨㄛˋㄈㄚˇ,วิธีทำอาหาร,y
便利商店,ㄅㄧㄢˋㄌㄧˋㄕㄤㄉㄧㄢˋ,ร้านสะดวกซื้อ,y
便宜,ㄆㄧㄢˊㄧˊ,ราคาถูก,y
保護,ㄅㄠˇㄏㄨˋ,ปกป้อง,y
保險,ㄅㄠˇㄒㄧㄢˇ,ประกันภัย,y
倒,ㄉㄠˋ,ตก ขว้าง ทิ้ง,y
借,ㄐㄧㄝˋ,ยืม,y
值得,ㄓˊㄉㄜ˙,คุ้มค่า,y
假期,ㄐㄧㄚˋㄑㄧˊ,พักร้อน วันหยุด,y
做,ㄗㄨㄛˋ,ทำ,y
做菜,ㄗㄨㄛˋㄘㄞˋ,ทำกับข้าว,y
做飯,ㄗㄨㄛˋㄈㄢˋ,ทำอาหาร,u
停,ㄊㄧㄥˊ,หยุด,y
健康,ㄐㄧㄢˋㄎㄤ,สุขภาพ,y
偷,ㄊㄡ,ขโมย,y
傘,ㄙㄢˇ,ร่ม,y
傳統,ㄔㄨㄢˊㄊㄨㄥˇ,ประเพณี,y
像,ㄒㄧㄤˋ,คล้ายกับ,y
優格,ㄧㄡㄍㄜˊ,โยเกิร์ต,y
兄弟,ㄒㄩㄥㄉㄧˋ,พี่ชายน้องชาย,y
先,ㄒㄧㄢ,ก่อน,y
先生,ㄒㄧㄢㄕㄥ,นาย คุณผู้ชาย,y
光,ㄍㄨㄤ,เสร็จหมด ไม่เหลือ,y
光線,ㄍㄨㄤㄒㄧㄢˋ,แสงแดด แสงธรรมชาติ,y
內用,ㄋㄟˋㄩㄥˋ,ทานที่ร้าน,y
公共汽車,ㄍㄨㄥㄍㄨㄥˋㄑㄧˋㄔㄜ,รถสาธารณะ,y
公司,ㄍㄨㄥㄙ,บริษัท,y
公園,ㄍㄨㄥㄩㄢˊ,สวนสาธารณะ,y
公寓,ㄍㄨㄥㄩˋ,อพาร์ตเมนต์,y
公尺,ㄍㄨㄥㄔˇ,เมตร,y
其他,ㄑㄧˊㄊㄚ,อื่น ๆ ที่เหลือ,y
冬天,ㄉㄨㄥㄊㄧㄢ,ฤดูหนาว,y
冰,ㄅㄧㄥ,น้ำแข็ง,y
冷,ㄌㄥˇ,หนาว,y
冷氣,ㄌㄥˇㄑㄧˋ,เครื่องปรับอากาศ,y
出差,ㄔㄨㄔㄚ,ออกงาน ทำงานนอกสถานที่,y
分,ㄈㄣ,นาที,y
分鐘,ㄈㄣㄓㄨㄥ,(จำนวน) นาที,y
分類,ㄈㄣㄌㄟˋ,จำแนก แยกประเภท,y
別,ㄅㄧㄝˊ,ห้าม,y
別急,ㄅㄧㄝˊㄐㄧˊ,ค่อย ๆ ไม่ต้องรีบ,y
別的,ㄅㄧㄝˊㄉㄜ,อื่น อันอื่น อันที่ต่างออกไป อันที่ไม่ใช่อันนี้,y
利用,ㄌㄧˋㄩㄥˋ,ใช้งาน,y
到,ㄉㄠˋ,ถึง,y
到期,ㄉㄠˋㄑㄧˊ,หมดอายุ,y
到處,ㄉㄠˋㄔㄨˋ,ทุก ๆ ที่,y
前面,ㄑㄧㄢˊㄇㄧㄢˋ,ด้านหน้า,y
剛,ㄍㄤ,เพิ่ง เพิ่งจะ,y
功夫,ㄍㄨㄥㄈㄨ,กังฟู,y
功課,ㄍㄨㄥㄎㄜˋ,การบ้าน (!ㄗ),y
加,ㄐㄧㄚ,เติม เพิ่ม,y
加油,ㄐㄧㄚㄧㄡˊ,พยายาม สู้ ๆ,y
助教,ㄓㄨˋㄐㄧㄠˋ,ทีเอ ครูผู้ช่วยสอน,y
動作,ㄉㄨㄥˋㄗㄨㄛˋ,การเคลื่อนไหว,y
包,ㄅㄠ,ห่อ,y
包子,ㄅㄠㄗ˙,ซาลาเปา,y
千,ㄑㄧㄢ,พัน,y
午餐,ㄨˇㄘㄢ,อาหารกลางวัน,y
半,ㄅㄢˋ,ครึ่งหนึ่ง,y
半夜,ㄅㄢˋㄧㄝˋ,กลางดึก,y
原住民,ㄩㄢˊㄓㄨˋㄇㄧㄣˊ,คนพื้นที่ คนดั้งเดิม ชาติพันธุ์ดั้งเดิม,y
去年,ㄑㄩˋㄋㄧㄢˊ,ปีที่แล้ว,y
參加,ㄘㄢ ㄐㄧㄚ,เข้าร่วม,y
參觀,ㄘㄢㄍㄨㄢ,เข้าเยี่ยม (สถานที่),y
又,ㄧㄡˋ,ทั้ง และ แล้ว,y
古代,ㄍㄨˇㄉㄞˋ,สมัยก่อน ยุคโบราณ,y
句,ㄐㄩˋ,ลักษณนามของบทพูด,y
另外,ㄌㄧㄥˋㄨㄞˋ,อันอื่น อีก,y
只,ㄓˇ,แค่,y
只要,ㄓˇㄧㄠˋ,ตราบที่,y
可以,ㄎㄜˇㄧˇ,สามารถ (อนุญาตให้ทำได้),y
可怕,ㄎㄜˇㄆㄚˋ,น่ากลัว,y
可惜,ㄎㄜˇㄒㄧˊ,น่าเสียดาย,y
可是,ㄎㄜˇㄕˋ,แต่,y
右轉,ㄧㄡˋㄓㄨㄢˇ,เลี้ยวขวา,y
右邊,ㄧㄡˋㄅㄧㄢ,ขวามือ,y
吃素,ㄔㄙㄨˋ,กินเจ,y
各,ㄍㄜˋ,หลากหลาย,y
合約,ㄏㄜˊㄩㄝ,สัญญา,y
同學,ㄊㄨㄥˊㄒㄩㄝˊ,เพื่อนร่วมชั้น,y
同意,ㄊㄨㄥˊㄧˋ,เห็นด้วย,y
吐,ㄊㄨˋ,อ้วก,y
吞,ㄊㄨㄣ,กลืน,y
吧,ㄅㄚ˙,ปะ ป่าว,y
吵,ㄔㄠˇ,เสียงดัง,y
告訴,ㄍㄠˋㄙㄨˋ,บอก,y
味道,ㄨㄟˋㄉㄠˋ,รสชาติ,y
咖啡,ㄎㄚㄈㄟ,กาแฟ,y
哥哥,ㄍㄜㄍㄜ˙,พี่ชาย,y
哪裡,ㄋㄚˇㄌㄧˇ,ที่ไหน,y
唱歌,ㄔㄤˋㄍㄜ,ร้องเพลง,y
商店,ㄕㄤㄉㄧㄢˋ,ร้านค้า (๒),y
問,ㄨㄣˋ,ถาม,y
問題,ㄨㄣˋㄊㄧˊ,ปัญหา,y
啤酒,ㄆㄧˊㄐㄧㄡˇ,เบียร์,y
喉嚨,ㄏㄡˊㄌㄨㄥˊ,ลำคอ,y
喜事,ㄒㄧˇㄕˋ,งานมงคล,y
喜宴,ㄒㄧˇㄧㄢˋ,งานเลี้ยงอาหารในงานแต่งงาน,y
喜酒,ㄒㄧˇㄐㄧㄡˇ,งานดื่มเลี้ยงในงานแต่งงาน,y
嚐,ㄔㄤˊ,ชิม,y
嚴重,ㄧㄢˊㄓㄨㄥˋ,รุนแรง หนักหนา,y
回收,ㄏㄨㄟˊㄕㄡ,รีไซเคิล,y
回收桶,ㄏㄨㄟˊㄕㄡㄊㄨㄥˇ,ถังรีไซเคิล,y
因為,ㄧㄣㄨㄟˋ,เพราะว่า,y
國家,ㄍㄨㄛˊㄐㄧㄚ,ประเทศ ชาติ,y
圖書館,ㄊㄨˊㄕㄨㄍㄨㄢˇ,ห้องสมุด,y
地圖,ㄉㄧˋㄊㄨˊ,แผนที่,y
地方,ㄉㄧˋㄈㄤ,สถานที่,y
地球,ㄉㄧˋㄑㄧㄡˊ,โลก,y
地點,ㄉㄧˋㄉㄧㄢˇ,ตำแหน่ง สถานที่,y
坐,ㄗㄨㄛˋ,นั่ง,y
垃圾,ㄌㄜˋㄙㄜˋ,ขยะ,y
報紙,ㄅㄠˋㄓˇ,หนังสือพิมพ์,y
塊,ㄎㄨㄞˋ,(ลักษณนาม) ลูก อัน (ของกิน),y
塑膠,ㄙㄨˋㄐㄧㄠ,พลาสติก,y
墨西哥,ㄇㄛˋㄒㄧㄍㄜ,เม็กซิโก,y
壞,ㄏㄨㄞˋ,เสีย ไม่ดี,y
壽司,ㄕㄡˋㄙ,ซูชิ,y
夏天,ㄒㄧㄚˋㄊㄧㄢ,ฤดูร้อน,y
外帶,ㄨㄞˋㄉㄞˋ,เอากลับบ้าน ซื้อกลับ,y
外面,ㄨㄞˋㄇㄧㄢˋ,ด้านนอก,y
多久,ㄉㄨㄛㄐㄧㄡˇ,นานแค่ไหน,y
夜市,ㄧㄝˋㄕˋ,ตลาดกลางคืน,y
夠,ㄍㄡˋ,เพียงพอ,y
大人,ㄉㄚˋㄖㄣˊ,ผู้ใหญ่,y
大家,ㄉㄚˋㄐㄧㄚ,ทุกคน,y
大概,ㄉㄚˋㄍㄞˋ,ประมาณ,y
大樓,ㄉㄚˋㄌㄡˊ,ตึกหลายชั้น,y
大白菜,ㄉㄚˋㄅㄞˊㄘㄞˋ,ผักกาดขาว,y
天分,ㄊㄧㄢㄈㄣ,ความสามารถพิเศษ อัจฉริยภาพ,y
天天,ㄊㄧㄢㄊㄧㄢ,ทุก ๆ วัน,y
天氣,ㄊㄧㄢㄑㄧˋ,สภาพอากาศ,y
太太,ㄊㄞˋㄊㄞ˙,ภรรยา,y
太極拳,ㄊㄞˋㄐㄧˊㄑㄩㄢˊ,รำไทเก๊ก,y
失望,ㄕㄨㄤˋ,ผิดหวัง,y
奇怪,ㄑㄧˊㄍㄨㄞˋ,แปลก ประหลาด,y
套房,ㄊㄠˋㄈㄤˊ,ห้องสตูดิโอ ห้องอพาร์ตเมนต์,y
女,ㄋㄩˇ,ผู้หญิง,y
女孩,ㄋㄩˇㄌㄞˊ,เด็กผู้หญิง,y
好像,ㄏㄠˇㄒㄧㄤˋ,ดูเหมือนกับ ดูท่าทางเหมือนกับ,y
好奇,ㄏㄠˇㄑㄧˊ,อยากรู้อยากเห็น สงสัย,y
好用,ㄏㄠˇㄩㄥˋ,ใช้ง่าย สะดวก,y
好處,ㄏㄠˇㄔㄨˋ,กำไร ประโยชน์,y
如果,ㄖㄨˊㄍㄨㄛˇ,ถ้า (!ㄧ),y
妹妹,ㄇㄟˋㄇㄟ˙,น้องสาว,y
姊妹,ㄐㄧㄝˇㄇㄟˋ,พี่สาวน้องสาว,y
姊姊,ㄐㄧㄝˇㄐㄧㄝ˙,พี่สาว,y
姓,ㄒㄧㄥˋ,นามสกุล,y
婚禮,ㄏㄨㄣㄌㄧˇ,งานแต่งงาน,y
媽媽,ㄇㄚㄇㄚ˙,แม่,y
字,ㄗˋ,ตัวอักษร,y
存,ㄘㄨㄣˊ,บันทึก,y
學會,ㄒㄩㄝˊㄏㄨㄟˋ,เล่าเรียนให้ได้วิชา,y
學期,ㄒㄩㄝˊㄑㄧˊ,เทอม ภาคการศึกษา,y
學費,ㄒㄩㄝˊㄈㄟˋ,ค่าเทอม,y
安全,ㄢㄑㄩㄢˊ,ปลอดภัย,y
宗教,ㄗㄨㄥㄐㄧㄠˋ,ศาสนา,y
客人,ㄎㄜˋㄖㄣˊ,แขก,y
客廳,ㄎㄜˋㄊㄧㄥ,ห้องนั่งเล่น,y
室友,ㄕˋㄧㄡˇ,เพื่อนร่วมห้อง,y
家具,ㄐㄧㄚㄐㄩˋ,เฟอร์นิเจอร์,y
家鄉,ㄐㄧㄚㄒㄧㄤ,บ้านเกิด,y
容易,ㄖㄨㄥˊㄧˋ,ง่าย,y
宿舍,ㄙㄨˋㄕㄜˋ,หอพัก,y
寫,ㄒㄧㄝˇ,เขียน,y
寬,ㄎㄨㄢ,กว้าง,y
對了,ㄉㄨㄟˋㄌㄜ˙,ว่าแต่,y
對面,ㄉㄨㄟˋㄇㄧㄢˋ,ตรงข้าม,y
小吃,ㄒㄧㄠˇㄔ,ของทานเล่น,y
小姐,ㄒㄧㄠˇㄐㄧㄝˇ,นางสาว คุณผู้หญิง,y
小孩,ㄒㄧㄠˇㄏㄞˊ,เด็กเล็ก (ทั่วไป),y
小學,ㄒㄧㄠˇㄒㄩㄝˊ,โรงเรียนประถม,y
小心,ㄒㄧㄠˇㄒㄧㄣ,ระวัง ระมัดระวัง,y
小時,ㄒㄧㄠˇㄕˊ,ชั่วโมง (!ㄓ),y
小籠包,ㄒㄧㄠˇㄌㄨㄥˊㄅㄠ,เสี่ยวหลงเปา,y
就,ㄐㄧㄡˋ,แล้ว งั้น (๑),y
層,ㄘㄥˊ,ชั้น (ลักษณนาม),y
履歷表,ㄌㄩˇㄌㄧˋㄅㄧㄠˇ,ประวัติการทำงาน ประวัติส่วนตัว,y
島,ㄉㄠˇ,เกาะ,y
工作,ㄍㄨㄥㄗㄨㄛˋ,งาน ทำงาน,y
左右,ㄗㄨㄛˇㄧㄡˋ,ประมาณ ซ้ายขวา,y
左轉,ㄗㄨㄛˇㄓㄨㄢˇ,เลี้ยวซ้าย,y
左邊,ㄗㄨㄛˇㄅㄧㄢ,ซ้ายมือ,y
差不多,ㄔㄚㄅㄨˋㄉㄨㄛ,พอ ๆ กัน ประมาณเท่า ๆ กัน,y
已經,ㄧˇㄐㄧㄥ,แล้ว เรียบร้อยแล้ว ก็พอแล้ว,y
巴士,ㄅㄚㄕˋ,รถบัส,y
巴黎,ㄅㄚㄌㄧˊ,ปารีส,y
巷子,ㄒㄧㄤˋㄗ˙,ตรอก ซอย,y
市區,ㄕˋㄑㄩ,ย่านดาวน์ทาวน์,y
希望,ㄒㄧㄨㄤˋ,หวัง,y
帥,ㄕㄨㄞˋ,หล่อ,y
師父,ㄕㄈㄨˋ,อาจารย์ศิลปะป้องกันตัว,y
帶,ㄉㄞˋ,เอาไป,y
幫,ㄅㄤ,สำหรับ เพื่อ,y
幫忙,ㄅㄤㄇㄤˊ,ช่วยเหลือ,y
平常,ㄆㄧㄥˊㄔㄤˊ,มักจะ เป็นปกติ,y
年級,ㄋㄧㄢˊㄐㄧˊ,ระดับชั้นปี,y
年輕,ㄋㄧㄢˊㄑㄧㄥ,อายุน้อย,y
幾,ㄐㄧˇ,มากเท่าไหร่ กี่อัน,y
床,ㄔㄨㄤˊ,เตียง,y
店,ㄉㄧㄢˋ,ร้าน (๑),y
座位,ㄗㄨㄛˋㄨㄟˋ,ที่นั่ง,y
廁所,ㄘㄜˋㄙㄨㄛˇ,ห้องน้ำ,y
廚房,ㄔㄨˊㄈㄤˊ,ห้องครัว,y
廟,ㄇㄧㄠˋ,วัด,y
廣告,ㄍㄨㄤˇㄍㄠˋ,โฆษณา,y
建築,ㄐㄧㄢˋㄓㄨˊ,สิ่งปลูกสร้าง อาคาร,y
建議,ㄐㄧㄢˋㄧˋ,คำแนะนำ,y
弟弟,ㄉㄧˋㄉㄧ˙,น้องชาย,y
張,ㄓㄤ,แผ่น ใบ,y
影片,ㄧㄥˇㄆㄧㄢˋ,ภาพยนตร์ (!ㄉ),y
影響,ㄧㄥˇㄒㄧㄤˇ,มีผลกระทบ มีแรงจูงใจให้กับ,y
往,ㄨㄤˇ,ไปยัง มุ่งหน้า,y
往前,ㄨㄤˇㄑㄧㄢˊ,ตรงไป,y
後來,ㄏㄡˋㄌㄞˊ,ทีหลัง,y
後天,ㄏㄡˋㄊㄧㄢ,วันมะรืน,y
後面,ㄏㄡˋㄇㄧㄢˋ,ด้านหลัง,y
得（動詞）,ㄉㄟˇ,ต้อง จำเป็นต้อง,y
從,ㄘㄨㄥˊ,จาก ตั้งแต่,y
微波,ㄨㄟˊㄅㄛ,ไมโครเวฟ,y
忘了,ㄨㄤˋㄌㄜ˙,ลืม,y
忙,ㄇㄤˊ,ยุ่ง ไม่ว่าง,y
快,ㄎㄨㄞˋ,ไว เร็ว,y
快樂,ㄎㄨㄞˋㄌㄜˋ,มีความสุข (ระยะยาว),y
念,ㄋㄧㄢˋ,เรียน (!ㄒ),y
念書,ㄋㄧㄢˋㄕㄨ,ศึกษา,y
忽然,ㄏㄨㄖㄢˊ,ทันใดนั้น ทันที,y
怕,ㄆㄚˋ,กลัว ไม่ชอบ,y
恭喜,ㄍㄨㄥㄒㄧˇ,ขอแสดงความยินดี,y
悠遊卡,ㄧㄡㄧㄡˊㄎㄚˇ,บัตร EasyCard,y
情形,ㄑㄧㄥˊㄒㄧㄥˊ,สถานการณ์,y
想起來,ㄒㄧㄤˇㄑㄧˇㄌㄞˊ,จำขึ้นมาได้ว่า,y
愛上,ㄞˋㄕㄤˋ,ตกหลุมรัก,y
感冒,ㄍㄢˇㄇㄠˋ,เป็นหวัด,y
慢,ㄇㄢˋ,ช้า,y
慢走,ㄇㄢˋㄗㄡˇ,ลาก่อน เดินทางดี ๆ,y
慶祝,ㄑㄧㄥˋㄓㄨˋ,เฉลิมฉลอง,y
懂,ㄉㄨㄥˇ,เข้าใจ รู้เรื่อง,y
應該,ㄧㄥㄍㄞ,ควร,y
成績,ㄔㄥˊㄐㄧ,ผลการเรียน,y
或是,ㄏㄨㄛˋㄕˋ,หรือ,y
房子,ㄈㄤˊㄗ˙,บ้าน,y
房東,ㄈㄤˊㄉㄨㄥ,เจ้าบ้าน เจ้าของที่,y
房租,ㄈㄤˊㄗㄨ,ค่าเช่า,y
房間,ㄈㄤˊㄐㄧㄢ,ห้อง,y
所以,ㄙㄨㄛˇㄧˇ,ดังนั้น,y
所有,ㄙㄨㄛˇㄧㄡˇ,ทุกสิ่ง ทุกอย่าง ทุกคน,y
扁,ㄅㄧㄢˇ,แบน,y
手機,ㄕㄡˇㄐㄧ,โทรศัพท์มือถือ,y
才,ㄘㄞˊ,แค่ (!ㄓ),y
打工,ㄉㄚˇㄍㄨㄥ,ทำงานนอกเวลา ทำงานพิเศษ,y
打算,ㄉㄚˇㄙㄨㄢˋ,วางแผนที่จะทำ (!ㄐ),y
找,ㄓㄠˇ,หา เจอ พบ,y
抱怨,ㄅㄠˋㄩㄢˋ,บ่น คอมเพลน,y
拌,ㄅㄢˋ,คน ผสม,y
拍,ㄆㄞ,ถ่าย (รูป),y
招牌,ㄓㄠㄆㄞˊ,ป้ายร้านค้า,y
拿,ㄋㄚˊ,เอา รับ,y
按照,ㄢˋㄓㄠˋ,ขึ้นอยู่กับ เนื่องด้วย,y
捷運,ㄐㄧㄝˊㄩㄣˋ,รถไฟฟ้าในเมือง รถไฟใต้ดิน,y
接,ㄐㄧㄝ,รับ ไปรับ,y
推,ㄊㄨㄟ,ผลัก,y
提,ㄊㄧˊ,ถอน (เงิน),y
提款機,ㄊㄧˊㄎㄨㄢˇㄐㄧ,ตู้เอทีเอ็ม,y
換,ㄏㄨㄢˋ,เปลี่ยน(รถ),y
搬,ㄅㄢ,ย้ายไปยัง,y
搬家,ㄅㄢㄐㄧㄚ,ย้ายบ้าน,y
搭,ㄉㄚ,ขึ้น(รถ),y
摩托車,ㄇㄛˊㄊㄨㄛㄔㄜ,รถจักรยานยนต์ (๓),y
擠,ㄐㄧˇ,คนเยอะ,y
支,ㄓ,เครื่อง (โทรศัพท์),y
收,ㄕㄡ,เก็บ รวบรวม,y
收到,ㄕㄡㄉㄠˋ,ได้รับ,y
放下,ㄈㄤˋㄒㄧㄚˋ,วางลง,y
放假,ㄈㄤˋㄐㄧㄚˋ,ไปพักร้อน มีวันหยุด,y
放心,ㄈㄤˋㄒㄧㄣ,ไว้วางใจ ไม่กังวล,y
教,ㄐㄧㄠ,สอน,y
教堂,ㄐㄧㄠˋㄊㄤˊ,โบสถ์,y
教室,ㄐㄧㄠˋㄕˋ,ห้องเรียน,y
教授,ㄐㄧㄠˋㄕㄡˋ,ศาสตราจารย์,y
敬酒,ㄐㄧㄥˋㄐㄧㄡˇ,ยกแก้วอวยพร,y
整天,ㄓㄥˇㄊㄧㄢ,ทั้งวัน,y
文化,ㄨㄣˊㄏㄨㄚˋ,วัฒนธรรม,y
新,ㄒㄧㄣ,ใหม่,y
新人,ㄒㄧㄣㄖㄣˊ,คนที่เพิ่งแต่งงาน,y
新娘,ㄒㄧㄣㄋㄧㄤˊ,เจ้าสาว,y
新聞,ㄒㄧㄣㄨㄣˊ,ข่าว,y
新郎,ㄒㄧㄣㄌㄤˊ,เจ้าบ่าว,y
方便,ㄈㄤㄅㄧㄢˋ,สะดวก,y
旁邊,ㄆㄤˊㄅㄧㄢ,ด้านข้าง,y
旅行,ㄌㄩˇㄒㄧㄥˊ,ท่องเที่ยว,y
旅館,ㄌㄩˇㄍㄨㄢˇ,โรงแรม,y
日子,ㄖˋㄗ˙,วัน (๒),y
日用品,ㄖˋㄩㄥˋㄆㄧㄣˇ,ของใช้ประจำวัน,y
早上,ㄗㄠˇㄕㄤˋ,ตอนเช้า,y
早生貴子,ㄗㄠˇㄕㄥㄍㄨㄟˋㄗ˙,ขอให้มีลูกเร็ว ๆ,y
明年,ㄇㄧㄥˊㄋㄧㄢˊ,ปีหน้า,y
星期,ㄒㄧㄥㄑㄧˊ,สัปดาห์ (จีน),y
春假,ㄔㄨㄣㄐㄧㄚˋ,ปิดเทอมช่วงฤดูใบไม้ผลิ,y
春天,ㄔㄨㄣㄊㄧㄢ,ฤดูใบไม้ผลิ,y
春捲,ㄔㄨㄣㄐㄩㄢˇ,เปาะเปี๊ยะ,y
昨天,ㄗㄨㄛˊㄊㄧㄢ,เมื่อวาน,y
時候,ㄕˊㄏㄡˋ,เวลา ตอนที่,y
晚上,ㄨㄢˇㄕㄤˋ,ตอนเย็น กลางคืน,y
晚飯,ㄨㄢˇㄈㄢˋ,อาหารเย็น,y
暑假,ㄕㄨˇㄐㄧㄚˋ,ปิดเทอมฤดูร้อน,y
曬太陽,ㄕㄞˋㄊㄞˋㄧㄤˊ,อาบแดด,y
更,ㄍㄥˋ,ยิ่ง อีก,y
書法,ㄕㄨㄈㄚˇ,วิชาการเขียนพู่กัน,y
替,ㄊㄧˋ,ในนามของ ในฐานะของ สำหรับ,y
最,ㄗㄨㄟˋ,ที่สุด,y
最後,ㄗㄨㄟˋㄏㄡˋ,สุดท้าย,y
最近,ㄗㄨㄟˋㄐㄧㄣˋ,ช่วงนี้ พักหลังนี้,y
月底,ㄩㄝˋㄉㄧˇ,ปลายเดือน,y
有事,ㄧㄡˇㄕˋ,มีธุระ ไม่ว่าง,y
有名,ㄧㄡˇㄇㄧㄥˊ,มีชื่อเสียง,y
有意思,ㄧㄡˇㄧˋㄙ,น่าสนใจ สนุก (๓),y
有時候,ㄧㄡˇㄕˊㄏㄡˋ,บางครั้ง,y
有機,ㄧㄡˇㄐㄧ,อินทรีย์ ออร์แกนิก,y
有空,ㄧㄡˇㄎㄨㄥˋ,มีเวลาว่าง,y
有線電視,ㄧㄡˇㄒㄧㄢˋㄉㄧㄢˋㄕˋ,เคเบิลทีวี,y
有趣,ㄧㄡˇㄑㄩˋ,น่าสนใจ (๒),y
朋友,ㄆㄥˊㄧㄡˇ,เพื่อน,y
本,ㄅㄣˇ,เล่ม,y
本來,ㄅㄣˇㄌㄞˊ,แรกเริ่มเดิมที ต้นตำหรับ,y
本子,ㄅㄣˇㄗ˙,สมุด,y
材料,ㄘㄞˊㄌㄧㄠˋ,วัตถุดิบ (ทำอาหาร),y
東西,ㄉㄨㄥㄒㄧ,สิ่งของ,y
枝,ㄓ,ด้าม (ลักษณนาม),y
桌子,ㄓㄨㄛㄗ˙,โต๊ะ,y
條,ㄊㄧㄠˊ,เส้น ลักษณนามของถนน,y
棒球,ㄅㄤˋㄑㄧㄡˊ,เบสบอล,y
棟,ㄉㄨㄥˋ,หลัง (ลักษณนาม),y
椅子,ㄧˇㄗ˙,เก้าอี้,y
植物,ㄓˊㄨˋ,พืช,y
極了,ㄐㄧˊㄌㄜ˙,อย่างแน่นอน อย่างเป็นที่สุด,y
樓,ㄌㄡˊ,ชั้น พื้น,y
樓下,ㄌㄡˊㄒㄧㄚˋ,ชั้นล่าง,y
機場,ㄐㄧㄔㄤˇ,สนามบิน,y
