français,thaïlandais,Add Reverse
drôle,ตลก,y
dès,จาก ทันทีที่,y
désolé,ขอโทษ ที่รู้สึกผิด,y
ensemble,ด้วยกัน,y
entendre,ได้ยิน,y
entier,ทั้งชิ้น ทั้งอัน,y
entre,ระหว่าง,y
entrer,เข้า,y
envers,ต่อหน้า กับ,y
espagnol,ที่เกี่ยวกับสเปน,y
européen,ที่เกี่ยวกับยุโรป,y
facile,ง่าย (!s),y
faible,อ่อนแอ,y
faire,ทำ,y
falloir,จำเป็นต้อง (ไม่มีประธาน) ขาด,y
fermer,ปิด,y
finir,ทำเสร็จ (!t),y
folle,บ้า (ญ),y
fort,แข็งแรง,y
fou,บ้า (ช),y
franc,ตรงไปตรงมา เปิดเผย,y
froid,เย็น,y
gagner,ชนะ ได้เงิน,y
gentil,สุภาพใจดี (!s),y
grand,ใหญ่,y
grave,หนักหนา สาหัส,y
gris,สีเทา,y
gros,ขนาดใหญ่ อ้วน,y
génial,ยอดเยี่ยม (!p),y
habiter,อาศัย อยู่ พำนัก,y
ici,ที่นี่,y
important,สำคัญ,y
impossible,เป็นไปไม่ได้,y
intéresser,ทำให้สนใจ,y
italien,ที่เกี่ยวกับอิตาลี,y
japonais,ที่เกี่ยวกับญี่ปุ่น,y
jaune,สีเหลือง,y
jeune,ที่อายุน้อย เด็ก,y
joli,สวยงาม หล่อ งดงาม (!b),y
jouer,เล่น,y
jusque,จนกระทั่ง ไปถึง,y
l'enfant,เด็ก,y
la baguette,ขนมปังบาเกต์,y
la baleine,ปลาวาฬ,y
la bière,เบียร์,y
la boisson,เครื่องดื่ม,y
la botte,รองเท้าบูต,y
la carotte,แครอท,y
la ceinture,เข็มขัด,y
la chatte,แมวตัวเมีย,y
la chaussette,ถุงเท้า,y
la chaussure,รองเท้า,y
la chemise,เสื้อเชิต,y
la chienne,สุนัขตัวเมีย,y
la chose,สิ่งของ,y
la confiture,แยม,y
la copine,แฟน (ญ),y
la couleur,สี,y
la crêpe,เครป,y
la faim,ความหิว,y
la famille,ครอบครัว,y
la femme,ผู้หญิง,y
la fille,เด็กผู้หญิง,y
la fourmi,มด,y
la fraise,สตรอว์เบอร์รี,y
la fête,งานเลี้ยง ปาร์ตี้,y
la jupe,กระโปรง,y
la lettre,จดหมาย,y
la main,มือ,y
la maison,บ้าน,y
la mouche,แมลงวัน,y
la mère,แม่,y
la nourriture,อาหาร,y
la place,สถานที่,y
la plante,พืช ต้นไม้,y
la poche,กระเป๋า (เล็ก),y
la pomme,แอปเปิล,y
la recette,สูตรอาหาร,y
la robe,เสื้อ ชุดเดรส,y
la rose,ดอกกุหลาบ,y
la réservation,การจอง,y
la salade,สลัด,y
la semaine,สัปดาห์,y
la soupe,ซุป,y
la souris,หนู,y
la sœur,พี่สาว น้องสาว,y
la table,โต๊ะ,y
la tasse,แก้วกาแฟ,y
la tomate,มะเขือเทศ,y
la tortue,เต่า,y
la télé,โทรทัศน์ (ย่อ),y
la vache,วัว,y
la veste,เสื้อแจ็กเก็ต,y
la viande,เนื้อ,y
la voiture,รถยนต์,y
laid,น่าเกลียด,y
lancer,ขว้าง โยน,y
large,กว้าง,y
laver,ล้าง ซัก,y
le banane,กล้วย,y
le basket,บาสเกตบอล,y
le bateau,เรือ,y
le besoin,ความจำเป็น,y
le beurre,เนย,y
le billet,ตั๋ว,y
le bonbon,ลูกอม ขนมหวาน,y
le bœuf,เนื้อวัว,y
le cadeau,ของขวัญ,y
le canard,เป็ด,y
le chapeau,หมวก,y
le chat,แมว,y
le cheval,ม้า,y
le chien,สุนัข,y
le chocolat,ช็อกโกแลต,y
le citron,มะนาว,y
le cochon,หมู (ตัว),y
le costume,ชุดสูท,y
le coupain,แฟน (ช),y
le cousin,ลูกพี่ลูกน้อง,y
le couteau,มีด,y
le dauphin,ปลาโลมา,y
le dîner,อาหารเย็น,y
le fils,ลูกชาย,y
le football,ฟุตบอล,y
le fromage,ชีส,y
le fruit,ผลไม้,y
le frère,พี่ชาย น้องชาย,y
le gant,ถุงมือ,y
le garçon,เด็กผู้ชาย,y
le guitariste,มือกีตาร์,y
le gâteau,เค้ก,y
le haricot,ถั่วแขก,y
le jean,กางเกงยีน,y
le jeu,เกม,y
le joueur,ผู้เล่น นักกีฬา,y
le jour,วัน,y
le journal,หนังสือพิมพ์,y
le jus,น้ำผลไม้,y
le lait,นม,y
le lion,สิงโต,y
le livre,หนังสือ,y
le loup,หมาป่า,y
le légume,ผัก,y
le magasin,ร้านค้า,y
le manteau,เสื้อโค้ต,y
le marché,ตลาด,y
le mari,สามี,y
le matin,ตอนเช้า,y
le menu,เมนู,y
le mot,คำ คำพูด คำศัพท์,y
le nom,ชื่อ,y
le pain,ขนมปัง,y
le pantalon,กางเกง,y
le papillon,ผีเสื้อ,y
le parapluie,ร่ม,y
le parent,ผู้ปกครอง,y
le perroquet,นกแก้ว,y
le poisson,ปลา,y
le poivre,พริกไทย,y
le porc,เนื้อหมู,y
le portefeuille,กระเป๋าเงิน,y
le poulet,ไก่,y
le père,พ่อ,y
le raisin,องุ่น,y
le repas,มื้ออาหาร,y
le requin,ปลาฉลาม,y
le riz,ข้าว,y
le robot,หุ่นยนต์,y
le sac,ถุง กระเป๋า,y
le salon,ห้องนั่งเล่น,y
le sandwich,แซนด์วิช,y
le sel,เกลือ,y
le serpent,งู,y
le singe,ลิง,y
le soir,ตอนเย็น,y
le stress,ความเครียด,y
le sucre,น้ำตาล,y
le supermarché,ซุปเปอร์มาร์เก็ต,y
le thé,ชา,y
le thé au lait,ชานม,y
le tigre,เสือ,y
le train,รถไฟ,y
le verre,แก้ว,y
le vin,ไวน์,y
le zoo,สวนสัตว์,y
les maths,คณิตศาสตร์,y
les pâtes,พาสต้า,y
les vêtements,เสื้อผ้า,y
liquide,ที่เป็นของเหลว,y
lire,อ่าน,y
loin,ไกล,y
long,ยาว,y
lorsque,เมื่อ ถ้า ตอนที่ (!q),y
lourd,หนัก,y
léger,เบา,y
maintenant,ตอนนี้,y
malade,ป่วย,y
malgré,แม้ว่า (+นาม),y
manger,กิน,y
marcher,เดิน,y
marron,สีน้ำตาล,y
mauvais,แย่ ผิด เลว,y
mettre,ใส่ สวม,y
montrer,แสดง โชว์ เอาให้ดู,y
mort,ที่ตายแล้ว,y
motiver,สร้างแรงบันดาลใจ,y
mourir,ตาย,y
méchant,ใจร้าย นิสัยไม่ดี,y
mériter,คู่ควร เหมาะสม,y
même,ที่เหมือนกัน,y
naturel,ที่เป็นธรรมชาติ,y
neiger,หิมะตก,y
noir,สีดำ,y
nombreux,หลากหลาย มาก (!b),y
nouveau / nouvel,ใหม่ (ช),y
nouvelle,ใหม่ (ญ),y
nu,ที่เปลือย,y
nul,ไร้ค่า ว่างเปล่า แย่,y
offrir,ให้เป็นของขวัญ เสนอให้,y
on,ใครบางคน พวกเรา,y
orange,สีส้ม,y
ou,หรือ,y
ouvrir,เปิด,y
où,ที่ไหน,y
parce que,เพราะว่า (๒),y
parfait,สมบูรณ์แบบ ยอดเยี่ยม (!g),y
parler,พูด,y
parmi,อยู่ท่ามกลาง ล้อมรอบไปด้วย,y
partir,ออกไป ออกจาก,y
pauvre,ยากจน,y
pendant que,ในช่วง ในขณะที่,y
perdre,สูญเสีย ทำหาย,y
petit,เล็ก,y
peut-être,บางที อาจจะ,y
photographier,ถ่ายรูป,y
pleuvoir,ฝนตก,y
plus,มากกว่า,y
porter,สวม ใส่ พก แบก หาม,y
poser,วาง เอาไว้,y
posséder,เป็นเจ้าของ,y
pourquoi,ทำไม,y
pouvoir,สามารถ,y
premier,อันดับที่หนึ่ง,y
prendre,เอา ดื่ม รับ,y
prochain,ถัดไป,y
proposer,เสนอ,y
propre,สะอาด,y
près,ใกล้ ๆ,y
préféré,ที่โปรดปราน ที่ชอบ,y
prêt,พร้อม,y
pur,บริสุทธิ์,y
quand,เมื่อไหร่,y
qui,ใคร,y
rapide,เร็ว,y
regarder,ดู (!v),y
rentrer,กลับ,y
respecter,เคารพ,y
riche,รวย,y
rien,ไม่สักอย่าง,y
rond,ที่กลม,y
rouge,สีแดง,y
saisir,หยิบ จับ เข้าใจ,y
sale,สกปรก,y
sans,ปราศจาก โดยไม่มี,y
sauf,ยกเว้น,y
savoir,รู้,y
sec,แห้ง (ช),y
second,ลำดับที่สอง (!d),y
selon,อิงโดย ขึ้นกับ (es: según),y
seul,โดดเดี่ยว คนเดียว,y
signifier,มีความหมาย,y
simple,ง่าย (!f),y
sinon,ไม่งั้น ถ้าไม่,y
sombre,มืด,y
sortir,ออก,y
souhaiter,ปรารถนา ต้องการ,y
sous,ใต้ ด้านล่าง,y
souvent,บ่อย ๆ,y
suivre,ตาม ติดตาม,y
sur,ด้านบน เกี่ยวกับ (es: sobre),y
sympa,ที่ใจดี ที่เห็นอกเห็นใจ,y
sèche,แห้ง (ญ),y
sérieux,ที่จริงจัง,y
sûr,แน่ใจ,y
tard,สาย ช้ากว่ากำหนด,y
tenir,ถือ จับ มี (!p),y
terminer,ทำให้เสร็จ (!f),y
toujours,ตลอด เสมอ ๆ,y
travailler,ทำงาน,y
troisième,อันดับที่สาม,y
trouver,หาเจอ,y
utiliser,ใช้,y
vendre,ขาย,y
venir,มา,y
vers,ไปยัง มุ่งหน้าไปยัง,y
vert,สีเขียว,y
violet,สีม่วง,y
visiter,เยี่ยม ไปเที่ยวหา,y
vivre,อยู่อาศัย,y
voir,เห็น ดู (!r),y
vouloir,อยาก,y
vrai,ที่เป็นความจริง,y
à côté de,ด้านข้างของ~,y
à travers,ผ่านทาง โดยใช้,y
ça,สิ่งนั้น,y
écrire,เขียน,y
énorme,ยิ่งใหญ่ ใหญ่โต (es: enorme),y
étrange,แปลก ๆ หายาก,y
être,เป็น อยู่ คือ,y
