한국어,태극어,한자,Add Reverse
너희,พวกเธอ (สนิท),,y
넷,สี่ (เกาหลี),,y
노래,เพลง,,y
노래방,ร้านคาราโอเกะ,노래房,y
노트북,คอมพิวเตอร์โนตบุก,,y
녹차,ชาเขียว,緑茶,y
누구,ใคร,,y
누나,พี่สาว (ผู้ชายเรียก),,y
누님,พี่สาว (ผู้ใหญ่เรียก),,y
니은,ตัว ㄴ,,y
다리,ขา,,y
다방,ร้านกาแฟ (คำจีน),茶房,y
다섯,ห้า (เกาหลี),,y
달,ดวงจันทร์,,y
담배,บุหรี่,,y
대,ลักษณะนามของรถ คัน เครื่อง ลำ,臺,y
대학교,มหาวิทยาลัย,大學校,y
덥다,ร้อน,,y
도,ก็ ด้วย,,y
도서관,ห้องสมุด,圖書館,y
도착,การมาถึง,到着,y
도쿄,โตเกียว,東京,y
독일,เยอรมนี,獨逸,y
동생,น้อง,同生,y
동안,ช่วง ระยะ,,y
돼지,หมู,,y
두뇌,สมอง,頭脳,y
둘,สอง (เกาหลี),,y
둘아오다,กลับ,,y
뒤,ด้านหลัง,,y
드리다,มอบ มอบให้ ขอ ให้,,y
듣다,ฟัง,,y
들,พวก เหล่า (พหูพจน์),,y
디귿,ตัว ㄷ,,y
딸,ลูกสาว,,y
라디오,วิทยุ,,y
랑,กับ… ด้วย…,,y
러시아,รัสเซีย,,y
리을,ตัว ㄹ,,y
마시다,ดื่ม,,y
마터,ซูเปอร์มาร์เก็ต (!ㅅ),,y
마흔,สี่สิบ (เกาหลี),,y
만,หมื่น,万,y
<strong>만나다</strong>,พบกัน,,y
많다,มาก เยอะ (~다),,y
말,การพูด คำพูด ภาษา,,y
말레이시아,มาเลเซีย,,y
말하다,พูด,,y
맛있다,อร่อย,,y
매점,ร้านค้า,賣店,y
맥주,เบียร์,麥酒,y
먹다,กิน,,y
며칠,วันที่เท่าไหร่,,y
명,~คน (ลักษณนาม),名,y
명사,คำนาม,名詞,y
몇,เท่าไหร่ กี่,,y
모레,วันมะรืน,,y
모음,สระ,母音,y
모자,หมวก,帽子,y
목요일,วันพฤหัสบดี,木曜日,y
묘,หลุมศพ,,y
무슨,อะไร (!~ㅇ),,y
무엇,อะไร (!ㅅ),,y
문,ประตู,門,y
문건,ของ สิ่งของ วัตถุ,物件,y
문방구,เครื่องเขียน,文房具,y
문방구점,ร้านเครื่องเขียน,文房具店,y
문법,ไวยากรณ์,文法,y
문장,ประโยค,文章,y
물,น้ำ,,y
미국,สหรัฐอเมริกา,美國,y
미안,การขอโทษ ความรู้สึกผิด การรู้สึกเสียใจ (ㅁ),未安,y
미음,ตัว ㅁ,,y
밑,ด้านล่าง (△),,y
바나나,กล้วย,,y
바다,ทะเล,,y
바람,ลม,,y
바지,กางเกง,,y
박물관,พิพิธภัณฑ์,博物館,y
밖,ด้านนอก,,y
<strong>반갑다</strong>,ยินดี ดีใจ เบิกบานใจ,,y
반바지,กางเกงขาสั้น,半바지,y
반（半）,ครึ่ง,半,y
반（班）,ห้องเรียน (!ㄱ),班,y
받침,ตัวสะกด,,y
밤,กลางคืน,,y
밥,ข้าว,,y
방,ห้อง,房,y
밭,สวน ไร่ ทุ่ง,,y
배,ลูกสาลี่ (ผลไม้),,y
배 (อวัยวะ),ท้อง,,y
배우다,เรียนรู้ เล่าเรียน (!ㄱ),,y
백,ร้อย,百,y
백화점,ห้างสรรพสินค้า,百貨店,y
버스,รถบัส,,y
번,เลขที่,番,y
번호,หมายเลข,番號,y
베개,หมอน,,y
베트남,เวียดนาม,,y
벼,ต้นข้าว รวงข้าว เมล็ดข้าว,,y
변호사,ทนายความ,辯護士,y
병,ขวด,甁,y
병원,โรงพยาบาล,病院,y
보다,ดู,,y
볼펜,ปากกา,,y
뵙다,เข้าพบ เข้าเยี่ยม,,y
부르다,เรียก ตะโกน ร้อง,,y
부모,พ่อแม่,父母,y
부엌,ห้องครัว,,y
부탁,การขอร้อง การร้องขอ การรบกวน,付託,y
분,ท่าน คน(ยกย่อง),,y
비,ฝน,,y
비읍,ตัว ㅂ,,y
빨리,เร็ว ๆ ไว ๆ อย่างว่องไว,,y
빵,ขนมปัง,,y
뼈,กระดูก,,y
뽀뽀,หอม (แก้ม),,y
사,สี่ (จีน),四,y
사과,แอปเปิล,沙果/砂果,y
사다,ซื้อ,,y
사람,คน,,y
사업가,นักธุรกิจ,事業家,y
사이,ระหว่าง,,y
사자,สิงโต,獅子,y
사전,พจนานุกรม,辭典,y
사회,สังคม,社會,y
산,ภูเขา,山,y
살다,อาศัย อยู่,,y
삼,สาม (จีน),三,y
색깔,สี,色깔,y
생선,ปลา ปลาสด,新鮮,y
생일,วันเกิด,生日,y
서른,สามสิบ (เกาหลี),,y
서울,กรุงโซล,,y
서점,ร้านหนังสือ,書店,y
선배,รุ่นพี่,先輩,y
선생,คุณ ท่าน,先生,y
선생님,ครู อาจารย์,先生님,y
세수,การล้างหน้าและมือ,洗手,y
셋,สาม (เกาหลี),,y
소,วัว,,y
손,มือ,,y
쇠고기,เนื้อวัว,,y
쇼핑하다,(กริยา) ชอปปิง,,y
수영장,สระว่ายน้ำ,水泳場,y
수요일,วันพุธ,水曜日,y
수정,การแก้ไข การทำให้ถูกต้อง,修正,y
수정 테이프,เทปลบคำผิด,修正 테이프,y
수학,คณิตศาสตร์,數學,y
숙제,การบ้าน,宿題,y
술,เหล้า,酒,y
숲,ป่า,,y
쉰,ห้าสิบ (เกาหลี),,y
쉽다,ง่าย,,y
슈퍼,ซูเปอร์มาร์เก็ต (!ㅁ),,y
스물,ยี่สิบ (เกาหลี),,y
스웨터,เสื้อสเวตเตอร์,,y
시간,เวลา,時間,y
시계,นาฬิกา,時計,y
시옷,ตัว ㅅ,,y
시장,ตลาด,市場,y
식당,ร้านอาหาร โรงอาหาร,食堂,y
식탁,โต๊ะอาหาร,食卓,y
신문,หนังสือพิมพ์,新聞,y
실례,การเสียมารยาท,失禮,y
싫다,ไม่ชอบ,,y
십,สิบ (จีน),十,y
쌍기역,ตัว ㄲ,,y
쌍디귿,ตัว ㄸ,,y
쌍비읍,ตัว ㅃ,,y
쌍시옷,ตัว ㅆ,,y
쌍지읒,ตัว ㅉ,,y
쓰다,เขียน,,y
쓰레기,ขยะ,,y
쓰레기통,ถังขยะ,쓰레기桶,y
아니다,ไม่ใช่ (คำกริยา),,y
아니요,ไม่ เปล่า,,y
아들,ลูกชาย,,y
아래,ด้านล่าง (△△),,y
아버지,พ่อ (๓),,y
아빠,พ่อ (๒),,y
아이,เด็ก ลูก เด็กเล็ก,,y
아이스크림,ไอศกรีม,,y
아침,ตอนเช้า อาหารเช้า,,y
아파트,คอนโด อพาร์ตเมนต์,,y
아홉,เก้า (เกาหลี),,yn
아흔,เก้าสิบ (เกาหลี),,y
안,ด้านใน,,y
안경,แว่นตา,眼鏡,y
안녕하세요,สวัสดี,,y
앉다,นั่ง,,y
앞,ด้านหน้า,,y
야구,เบสบอล,野球,y
야채,ผัก,野菜,y
약,ยา,藥,y
약국,ร้านขายยา,藥局,y
약사,เภสัชกร,藥師,y
양말,ถุงเท้า,洋韈,y
어느,ไหน ใด,,y
어디,ที่ไหน,,y
어떻게,อย่างไร,,y
어렵다,ยาก,,y
어머니,แม่ (๓),,y
어제,เมื่อวาน,,y
어휘,คำศัพท์,語彙,y
억,ร้อยล้าน,億,y
언니,พี่สาว (ผู้หญิงเรียก),,y
언제,เมื่อไหร่,,y
얼마,ราคาเท่าไหร่,,y
엄마,แม่ (๒),,y
없다,ไม่มี,,y
에,ที่ (บุพบทบอกสถานที่),,y
여기,ที่นี่,,y
여덟,แปด (เกาหลี),,y
여동생,น้องสาว,女同生,y
여든,แปดสิบ (เกาหลี),,y
여섯,หก (เกาหลี),,y
여우,สุนัขจิ้งจอก,,y
여자,ผู้หญิง,女子,y
역사,ประวัติศาสตร์,歴史,y
연극,ละคร,演劇,y
연습,แบบฝึกหัด,練習,y
연필,ดินสอ,鉛筆,y
열,สิบ (เกาหลี),,y
열쇠,กุญแจ,,y
영국,ประเทศอังกฤษ,英國,y
영어,ภาษาอังกฤษ,英語,y
영화,ภาพยนตร์,映畫,y
영화관,โรงภาพยนตร์,映画館,y
옆,ด้านข้าง,,y
예순,หกสิบ (เกาหลี),,y
오,ห้า (จีน),五,y
오늘,วันนี้,,y
오다,มา,,y
오렌지,ส้ม,,y
오른쪽,ด้านขวา,,y
오빠,พี่ชาย (ผู้หญิงเรียก),,y
오이,แตงกวา,,y
오전,ช่วงเช้า,午前,y
오후,ช่วงบ่าย ช่วงหลังเที่ยง,午後,y
옷,เสื้อผ้า,,y
옷장,ตู้เสื้อผ้า,옷装,y
왜,ทำไม,,y
외국,ต่างประเทศ,外國,y
왼쪽,ด้านซ้าย,,y
요가,โยคะ,,y
요리사,พ่อครัว/แม่ครัว,料理師,y
요즘,ช่วงนี้,,y
우리,พวกเรา (สนิท),,y
우산,ร่ม,雨傘,y
우유,นม,牛乳,y
우체국,ที่ทำการไปรษณีย์,"郵遞局 ",y
우표,แสตมป์,郵票,y
운동,การออกกำลังกาย,運動,y
운동장,สนามกีฬา,運動場,y
운동화,รองเท้ากีฬา,運動靴,y
월,เดือน,月,y
월요일,วันจันทร์,月曜日,y
웨이터,บริกร,,y
위,ด้านบน,,y
유리,แก้ว กระจก,琉璃,y
유학,การไปเรียนแลกเปลี่ยนต่างประเทศ,留學,y
육,หก (จีน),六,y
으로,ที่… ทาง… จาก… ด้วย… （に）,,y
은행,ธนาคาร,銀行,y
음식,ของกิน อาหารและเครื่องดื่ม,飲食,y
음악,ดนตรี,音樂,y
의사,แพทย์,医者,y
의자,เก้าอี้,椅子,y
이 (ตัวเลข),สอง (จีน),ニ,y
이 (อวัยวะ),ฟัน,,y
이것,สิ่งนี้,,y
이다,เป็น คือ,,y
이름,ชื่อ,,y
이응,ตัว ㅇ,,y
인도,อินเดีย,印度,y
인삼차,ชาโสม,人蔘茶,y
일,วัน,日,y
일 (จำนวน),หนึ่ง (จีน),一,y
일곱,เจ็ด (เกาหลี),,y
일본,ประเทศญี่ปุ่น,日本,y
일어나다,ตื่น ลุกขึ้น,,y
일요일,วันอาทิตย์,日曜日,y
일하다,ทำงาน,,y
일흔,เจ็ดสิบ (เกาหลี),,y
읽다,อ่าน,,y
있다,มี,,y
잎,ใบไม้,,y
자,ไม้บรรทัด,,y
자기 소개,การแนะนำตัวเอง,自己紹介,y
자다,นอน,,y
자동차,รถยนต์,自動車,y
자매,พี่สาวน้องสาว,姊妹,y
자음,พยัญชนะ,子音,y
작다,เล็ก เตี้ย ต่ำ น้อย,,y
잘가,ลาก่อน (กันเอง),,y
잠,การนอนหลับ,,y
잡지,นิตยสาร,雜誌,y
장소,สถานที่,場所,y
재미있다,สนุก,,y
저,ฉัน,,y
저것,สิ่งโน้น,,y
저기,ตรงโน้น,,y
저녁,ตอนเย็น อาหารเย็น,,y
저희,พวกเรา (!ㅇ),,y
전,พัน,千,y
전화,โทรศัพท์,電話,y
점심,ตอนกลางวัน อาหารกลางวัน,點心,y
점원,พนักงานร้านค้า,店員,y
정문,ประตูหน้า,正門,y
졸업식,พิธีสำเร็จการศึกษา,卒業式,y
좀,นิดหน่อย เล็กน้อย,,y
종이,กระดาษ,,y
좋아하다,ชอบ,,y
죄송,ขออภัย ขอประทานโทษ (ㅈ),罪悚,y
주부,แม่บ้าน,主婦,y
주스,น้ำผลไม้,,y
중국,จีน,中國,y
중학교,โรงเรียนมัธยมศึกษาตอนต้น,中學校,y
쥐,หนู,,y
지갑,กระเป๋าสตางค์,,y
지금,ตอนนี้,,y
지도,แผนที่,地圖,y
지우개,ยางลบ,,y
지읒,ตัว ㅈ,,y
직업,อาชีพ,職業,y
질문,คำถาม,質問,y
집,บ้าน,,y
짜다,เค็ม,,y
째,ลำดับที่…,,y
찌개,จีแก,,y
찻집,ร้านน้ำชา ร้านขายเครื่องดื่ม,茶집,y
창문,หน้าต่าง,窓門,y
책,หนังสือ,冊,y
책상,โต๊ะเขียนหนังสือ,冊床,y
책장,ชั้นวางหนังสือ,冊欌,y
<strong>처음</strong>,ตอนแรก ครั้งแรก,,y
청소하다,ปัดกวาด ทำความสะอาด,清掃하다,y
체육관,โรงยิม,體育館,y
초등학교,โรงเรียนประถมศึกษา,初等學校,y
초밥,ซูชิ,醋밥,y
최종일,วันสุดท้าย,最終日,y
출신,พื้นเพ ที่เกิด เชื้อสาย,出身,y
출입구,ทางออก ประตูเข้าออก,出入口,y
층,ชั้น,層,y
치마,กระโปรง,,y
치읓,ตัว ㅊ,,y
치킨,ไก่ทอด,,y
친구,เพื่อน,親舊,y
칠,เจ็ด (จีน),七,y
칠판,กระดาน,漆板,y
침대,เตียง,寢臺/寝台,y
카메라,กล้องถ่ายรูป,,y
칼,มีด ดาบ,,y
커피,กาแฟ,,y
커피숍,ร้านกาแฟ (คำอังกฤษ),,y
컴퓨터,คอมพิวเตอร์,,y
케이크,ขนมเค้ก,,y
코,จมูก,,y
코끼리,ช้าง,,y
콜라,โค้ก,,y
퀴즈,ควิซ ปัญหาเชาว์,,y
크다,ใหญ่,,y
큰,เก๊า (ลูก)คนโต,,y
키읔,ตัว ㅋ,,y
태국,ประเทศไทย,泰國,y
텔레비전,โทรทัศน์,,y
토마토,มะเขือเทศ,,y
토요일,วันเสาร์,土曜日,y
티읕,ตัว ㅌ,,y
파리,ปารีส,,y
파티,งานเลี้ยง,,y
팔,แปด (จีน),八,y
팔다,ขาย,,y
편의점,ร้านสะดวกซื้อ,便宜店,y
편지,จดหมาย,便紙/片紙,y
폐,ปอด,肺,y
포도,องุ่น,葡萄,y
풀,กาว,,y
프랑스,ประเทศฝรั่งเศส,,y
피읖,ตัว ㅍ,,y
필통,กล่องดินสอ,筆筒,y
하고,กับ และ (๒),,y
하나,หนึ่ง (เกาหลี),,y
하다,ทำ,,y
하마,ฮิปโปโปเตมัส,河馬,y
하지만,แต่ แต่ว่า,,y
학기,ภาคการศึกษา,學期,y
학년,ชั้นปี (ระดับชั้น),學年,y
학생,นักเรียน,學生,y
한국,เกาหลีใต้,韓國,y
한국어,ภาษาเกาหลี,韓國語,y
한자,อักษรจีน,漢字,y
항상,เสมอ ๆ ตลอดเวลา,恒常,y
해,ดวงอาทิตย์,,y
핸드폰,โทรศัพท์มือถือ (อังกฤษ),,y
햄버거,แฮมเบอร์เกอร์,,y
행복,ความสุข,幸福,y
허리띠,เข็มขัด,,y
혀,ลิ้น,,y
형,พี่ชาย (ผู้ชายเรียก),,y
형님,พี่ชาย (ผู้ใหญ่เรียก),,y
형제,พี่น้อง,兄弟,y
호주,ออสเตรเลีย,豪州,y
홍차,ชาแดง,紅茶,y
화가,จิตรกร,畫家,y
화요일,วันอังคาร,火曜日,y
화장실,ห้องน้ำ,化粧室,y
회사,บริษัท,會社,y
회사원,พนักงานบริษัท,會社員,y
후배,รุ่นน้อง,後輩,y
휴대폰,โทรศัพท์มือถือ (จีน+อังกฤษ),携帶phone,y
휴지,กระดาษทิชชู่,休紙,y
흙,ดิน,,y
히읗,ตัว ㅎ,,y
